n07851443 double_cream
n04089836 riding_crop
n02513248 rough_fish
n03824999 nightshirt
n01754533 water_moccasin
n01754533 cottonmouth
n02060133 fulmar
n03141612 cruse
n02751295 astronomical_telescope
n02740300 apc
n01743605 python
n02160947 social_insect
n11611758 stone_pine
n11611758 pinus_pinea
n02772101 backup_system
n11970586 gaillardia
n02809736 baton
n02727141 aperture
n03505133 headrest
n04139395 sauna
n04524941 velour
n04524941 velours
n03971321 pneumatic_drill
n03814906 necklace
n02169023 sawyer
n04370600 sweatshop
n11845557 echinocactus
n11845557 barrel_cactus
n08495908 aphelion
n01987545 prawn
n03823111 nib
n07609407 taffy
n07904760 geneva
n07904760 hollands
n02877266 bottle
n02406647 charolais
n12011620 dusty_miller
n11855274 pokeweed
n08238463 class
n08238463 form
n08238463 grade
n08238463 course
n02015554 crake
n02096756 schnauzer
n01772222 spider
n03654826 leg
n03413428 gambling_house
n03413428 gambling_den
n03413428 gaming_house
n03918480 personal_computer
n03918480 microcomputer
n04073948 cloister
n03970546 plush
n04610503 yard
n02595339 silver_perch
n02595339 mademoiselle
n02431628 sambar
n04127633 safety_valve
n04127633 relief_valve
n04127633 escape
n03850053 operating_microscope
n02125081 european_wildcat
n02125081 felis_silvestris
n04542329 voussoir
n01499732 cownose_ray
n03769610 minibar
n02028727 pectoral_sandpiper
n03016953 commode
n03170872 deerstalker
n01548492 western_kingbird
n07904637 sloe_gin
n03766044 miller
n03766044 milling_machine
n09453008 tableland
n09453008 plateau
n03968728 plumb
n03968728 plummet
n03683079 lock
n03683079 lock_chamber
n02685082 aigrette
n03178430 derrick
n03098688 control_room
n02968074 carport
n03917048 periscope
n04019696 pull
n04341133 strongroom
n07934800 darjeeling
n04597913 wooden_spoon
n03355768 flagon
n03947888 pirate
n03947888 pirate_ship
n12360108 begonia
n04582349 wicker_basket
n01330497 arenavirus
n04238321 zip
n04238321 zipper
n12754468 vine_maple
n03851787 optical_disk
n03851787 optical_disc
n12090890 primrose
n12090890 primula
n11725821 wood_anemone
n11725821 anemone_nemorosa
n03794798 mouthpiece
n03794798 embouchure
n03989349 postern
n03579982 ice
n02066707 toothed_whale
n04561965 water_pump
n02804252 sousaphone
n02804252 tuba
n04465501 tractor
n04521987 varnish
n03383211 forestay
n00446411 in_fighting
n03507241 hearth
n03507241 fireside
n07721325 hot_pepper
n12448136 calochortus_luteus
n03968293 plug
n04577139 wherry
n07763107 feijoa
n10386984 outfielder
n02746595 artillery_shell
n04173511 sequencer
n07840672 coconut_milk
n07840672 coconut_cream
n12647376 bird_cherry
n02914991 building_complex
n02914991 complex
n04045255 radome
n04045255 radar_dome
n02484975 guenon
n02085019 feist
n07919441 irish_coffee
n04401680 telephone_booth
n04401680 phone_booth
n04401680 call_box
n04401680 telephone_box
n04401680 telephone_kiosk
n03500090 hawse
n04205318 short_pants
n04205318 shorts
n04205318 trunks
n02957252 capstan
n02055107 tropicbird
n12927494 candlenut
n03591798 jacquard
n04262161 sounding_board
n04262161 soundboard
n02244173 assassin_bug
n04432203 tiara
n07711080 french_fries
n07711080 fries
n07711080 chips
n04578934 whisk
n02691156 airplane
n02691156 aeroplane
n02691156 plane
n06273414 call_forwarding
n07933799 cuppa
n07933799 cupper
n02443346 ferret
n10665698 student
n10665698 pupil
n02378541 cavalry_horse
n12508309 milk_vetch
n12508309 milk_vetch
n13874558 scallop
n07928367 ginger_ale
n03342127 finger_painting
n07565083 menu
n04570958 weighbridge
n02596067 jewfish
n02871005 bookend
n02098806 bird_dog
n07601809 caramel
n03751757 metal_detector
n01871265 tusker
n07716906 spaghetti_squash
n02332447 harvest_mouse
n11771924 carissa_macrocarpa
n02709101 anastigmat
n02974697 case
n02316707 echinoderm
n02904505 broadside
n02876657 bottle
n03628215 koto
n03993180 pouch
n02963821 car_door
n04451818 tool
n07739035 windfall
n01799302 guan
n02982232 catapult
n02982232 launcher
n02570164 jewfish
n07847453 clotted_cream
n12893463 nightshade
n03176594 deodorant
n07923748 juice
n03605504 jump_suit
n02977438 cash_register
n02977438 register
n09472413 volcanic_crater
n09472413 crater
n11704620 camphor_tree
n03784793 mooring_mast
n03482877 handball
n07610502 ambrosia
n04246731 smokehouse
n04246731 meat_house
n02037464 phalarope
n00482298 tennis
n00482298 lawn_tennis
n11989869 marguerite
n11989869 leucanthemum_vulgare
n12152532 cotton_grass
n01814370 domestic_pigeon
n01623425 screech_owl
n01912454 siphonophore
n02447762 american_badger
n09421799 sandbank
n04245508 small_stores
n12697152 cedrela_odorata
n13108841 conifer
n13108841 coniferous_tree
n03512030 helicon
n02935658 cafe
n02935658 coffeehouse
n02935658 coffee_shop
n02935658 coffee_bar
n07750586 almond
n03229244 dowel
n03229244 joggle
n01752585 adder
n01752585 vipera_berus
n07933274 tea
n03938037 pillory
n03868242 oxcart
n01519563 cassowary
n04328703 storage_ring
n03432061 gearset
n07917618 sling
n13137951 bacca
n13128976 rachis
n03245889 drone
n03715386 mallet
n03715386 beetle
n00455076 overcast
n03128248 crayon
n11643835 arborvitae
n07897865 rioja
n03849814 opera
n03849814 opera_house
n04501370 turnstile
n03864139 overhand_knot
n03387323 foundation_garment
n03387323 foundation
n03196217 digital_clock
n07732168 sweet_corn
n07732168 green_corn
n02571652 bigeye
n02410011 gaur
n10087434 fighter_pilot
n03293741 equalizer
n03293741 equaliser
n04277493 spindle
n04277493 mandrel
n04277493 arbor
n01405007 fucus
n01671125 gopher_tortoise
n01671125 gopher
n03582508 ivp
n03163222 dashboard
n03163222 fascia
n01860187 black_swan
n04501837 turntable
n04501837 lazy_susan
n12681893 weigela
n03622839 knee_brace
n15075141 toilet_paper
n15075141 bathroom_tissue
n01527617 lark
n03815615 necktie
n03815615 tie
n02256656 cicada
n02256656 cicala
n09382099 oxbow
n04576211 wheeled_vehicle
n12306717 jasmine
n02226970 locust
n02855390 blowtorch
n02855390 torch
n10648696 star
n10648696 principal
n10648696 lead
n04267435 spanker
n03529629 homestead
n13044778 earthstar
n03423719 gasket
n12174311 althea
n12174311 althaea
n12174311 hollyhock
n11623967 deodar
n11623967 cedrus_deodara
n01567133 wood_warbler
n01324799 insectivore
n02694426 alarm
n02694426 warning_device
n02694426 alarm_system
n14853210 high_explosive
n03037404 clapperboard
n03330947 fetter
n03330947 hobble
n06359467 chat_room
n06359467 chatroom
n07738105 freestone
n07582441 relish
n03716228 mammogram
n04380533 table_lamp
n07753113 fig
n07925608 carrot_juice
n07765999 jujube
n07868830 galantine
n03781683 money_belt
n09398076 pothole
n11717577 american_lotus
n11717577 nelumbo_lutea
n11758799 red_sandalwood
n07857959 pate
n04355267 sun_deck
n03180969 detector
n03180969 sensor
n03180969 sensing_element
n04551055 warehouse
n04551055 storage_warehouse
n03339643 filter
n12164363 muskmelon
n12164363 cucumis_melo
n11617272 bristlecone_pine
n04449966 tomahawk
n04449966 hatchet
n04560804 water_jug
n04168840 seismograph
n02610066 tautog
n02610066 blackfish
n04189651 sheet_pile
n04189651 sheet_piling
n01986214 hermit_crab
n01558993 robin
n01558993 american_robin
n04532106 vestment
n02236355 bug
n07556637 edible
n07556637 victual
n07556637 victuals
n03212811 distillery
n03212811 still
n02047260 murre
n02585872 cichlid
n02585872 cichlid_fish
n02121808 domestic_cat
n02121808 house_cat
n02121808 felis_catus
n09861946 boatman
n09861946 boater
n09861946 waterman
n07918028 sour
n00433802 gymnastics
n03034663 circular_saw
n03034663 buzz_saw
n12889713 torch
n03914583 pepper_spray
n07886463 aperitif
n07712959 nacho
n07768858 prickly_pear
n09833536 baker
n11793779 calla_lily
n11793779 calla
n11793779 arum_lily
n04225987 skateboard
n04268142 spark_arrester
n02683558 afterburner
n02090721 irish_wolfhound
n02200630 gnat
n02998563 cesspool
n02998563 cesspit
n02998563 sink
n02998563 sump
n13185658 doodia
n02392434 indian_rhinoceros
n03317889 faille
n12734070 populus_tremuloides
n09223487 bladder_stone
n03258330 duster
n11690088 peach_pit
n13081999 dry_rot
n04049405 raincoat
n04049405 waterproof
n03106898 cord
n12922763 croton
n04509171 undies
n08376250 chain
n08376250 concatenation
n12934985 water_hemlock
n02878534 boudoir
n12866162 clary
n12870891 wild_thyme
n07910048 triple_sec
n02085272 lapdog
n01497118 sawfish
n03518829 high_hat
n07846471 condensed_milk
n04177820 settle
n04177820 settee
n02308139 webworm
n01913166 jellyfish
n01530439 chaffinch
n07849733 whey
n07894102 beaujolais
n12333530 guava
n03685820 lodging_house
n03685820 rooming_house
n02776505 baize
n03941417 pinball_machine
n03166514 deanery
n07905618 pulque
n08663703 desktop
n03114236 costume
n03175301 densitometer
n03079230 compact_disk
n03079230 compact_disc
n02973236 cartwheel
n04261506 soundbox
n04261506 body
n01566207 tailorbird
n10735173 typist
n11621950 balsam_fir
n11621950 canada_balsam
n12822769 comfrey
n11879895 rapeseed
n12520406 guar
n03343354 fipple_flute
n03343354 recorder
n03337140 file
n03337140 filing_cabinet
n03697913 lungi
n03697913 longyi
n09231117 caldera
n03252324 dry_masonry
n04523525 vault
n01930852 ascaris_lumbricoides
n03482405 hamper
n03739518 medical_building
n03739518 health_facility
n03739518 healthcare_facility
n01632601 tiger_salamander
n07928887 root_beer
n04579230 whispering_gallery
n02417534 wild_goat
n03628831 crumhorn
n03261776 earphone
n03261776 earpiece
n03261776 headphone
n03261776 phone
n07575510 tea
n07575510 afternoon_tea
n07575510 teatime
n04183957 shank
n01531178 goldfinch
n03452741 grand_piano
n03452741 grand
n03030353 cigar_box
n03349296 firkin
n11689815 cottonseed
n02123478 angora
n12862512 plectranthus
n02412440 lamb
n04126066 safety_bicycle
n03062336 cocotte
n02095727 welsh_terrier
n02941845 camail
n02941845 aventail
n06277025 multiplex
n04608329 writing_desk
n07587023 potage
n07587023 pottage
n02099997 pointer
n02168427 glowworm
n04047401 railing
n04047401 rail
n12345280 pomegranate
n12345280 punica_granatum
n03841143 odometer
n03282060 embankment
n03879456 pallet
n02596381 croaker
n04968749 jade_green
n04968749 jade
n07587700 clam_chowder
n12245319 azalea
n04528079 verdigris
n12664710 cinchona
n12664710 cinchona_bark
n02747802 ashtray
n02508213 common_raccoon
n02508213 coon
n02508213 ringtail
n02508213 procyon_lotor
n02206856 bee
n04328054 stopper_knot
n02739889 armored_car
n02739889 armoured_car
n12193665 wineberry
n04508163 undergarment
n04508163 unmentionable
n07580053 side_dish
n07580053 side_order
n07580053 entremets
n02271897 thrips
n12909421 petunia
n03180865 detached_house
n03180865 single_dwelling
n01447331 may_fish
n01693334 green_lizard
n12594989 raffia_palm
n13865904 heart
n02270623 silverfish
n03376595 folding_chair
n04016684 pruning_shears
n04307878 steakhouse
n04307878 chophouse
n11919761 ambrosia_artemisiifolia
n00887544 team_sport
n07841907 easter_egg
n12337617 blue_gum
n12337617 fever_tree
n12337617 eucalyptus_globulus
n00474881 perfect_game
n07860629 manna
n02709908 and_circuit
n02709908 and_gate
n04166281 sedan
n04166281 saloon
n03710721 maillot
n12663804 cinchona
n07899769 vouvray
n04070415 refractometer
n04220805 silver_plate
n03725506 masonite
n03449309 gouge
n03981094 bodkin
n12774299 balata
n12774299 beefwood
n01489709 sandbar_shark
n04149083 scoop
n01690466 glass_lizard
n11657585 nagi
n11691046 corolla
n09454153 talus
n09454153 scree
n00440218 jumping
n04056180 rattan
n04056180 ratan
n02694966 alb
n03342863 finish_coat
n04104147 rolodex
n04529962 vertical_stabilizer
n04529962 vertical_stabiliser
n04529962 vertical_fin
n04529962 tail_fin
n04529962 tailfin
n03175457 densitometer
n11939180 balsamroot
n02361587 groundhog
n02361587 woodchuck
n03141455 crupper
n03216402 diving_suit
n03216402 diving_dress
n12479537 dracaena
n01619835 andean_condor
n01619835 vultur_gryphus
n03813946 nebuchadnezzar
n03125870 craft
n03883385 pannier
n00467995 field_hockey
n00467995 hockey
n03465818 guidance_system
n03854506 oled
n11808468 carnation
n01825278 turaco
n03098959 control_tower
n02053425 solan
n02002556 white_stork
n07852302 roquefort
n07741706 stayman
n03460899 gristmill
n05604434 abdominal_wall
n15092751 vitamin_k
n15092751 naphthoquinone
n03406966 furrow
n03878211 palace
n03296081 escapement
n04075916 repair_shop
n07820145 rosemary
n02003577 openbill
n03405725 furniture
n03848033 open_circuit
n12048056 spider_orchid
n03814817 neckerchief
n01848976 shoveler
n01848976 shoveller
n01848976 broadbill
n08182379 crowd
n12263738 chinquapin
n12862828 patchouli
n07832902 dressing
n07832902 salad_dressing
n02403820 bullock
n02912894 bugle
n12663023 coffea_arabica
n01575401 redwing
n04060647 receiver
n04060647 receiving_system
n07592094 fricassee
n03511175 hedge
n03511175 hedgerow
n07854066 limburger
n04561422 water_mill
n13896217 crescent
n02745492 artificial_heart
n02848921 blank
n02848921 dummy
n04186268 shaving_foam
n03937835 pillbox
n03937835 toque
n03937835 turban
n02685365 air_bag
n13869896 bight
n04160847 searchlight
n03456665 greatcoat
n03456665 overcoat
n03456665 topcoat
n09405078 rangeland
n13155611 glume
n09191635 air_bubble
n03238879 dress_shirt
n11878101 broccoli_rabe
n11680596 pollen_tube
n03016609 chicken_wire
n03051540 clothing
n03051540 wear
n03051540 wearable
n01528396 wagtail
n04004475 printer
n04004475 printing_machine
n02997391 ceramic
n07931870 may_wine
n12807624 platanus_orientalis
n03307792 external_drive
n04426184 third_rail
n03071552 colorimeter
n11973341 tarweed
n07765728 wild_plum
n07730207 carrot
n03128519 cream
n03128519 ointment
n03128519 emollient
n03871524 packaging
n02868638 bomb_shelter
n02868638 bombproof
n01850373 goldeneye
n01850373 whistler
n07616386 parfait
n09462600 troposphere
n03541696 hostel
n03541696 hostelry
n03541696 inn
n03541696 lodge
n03541696 auberge
n12856287 spearmint
n01833805 hummingbird
n03327234 fence
n03327234 fencing
n02450034 marten
n02405101 aurochs
n02405101 urus
n02405101 bos_primigenius
n13096779 lignum
n03293863 equatorial
n02890940 brake_shoe
n02890940 shoe
n02890940 skid
n12810595 phlox
n03660909 library
n02990758 celesta
n03974070 pogo_stick
n02956883 capote
n03518305 tallboy
n07606764 kiss
n04343511 student_center
n02253127 greenfly
n01887896 calf
n00443692 cliff_diving
n02413484 cotswold
n13000891 mushroom
n07770763 pumpkin_seed
n04012482 propjet
n04012482 turboprop
n02925385 bush_jacket
n07807922 fruit_salad
n12408077 chinese_elm
n12408077 ulmus_pumila
n01781570 acarus
n03635032 lamasery
n12161056 cucurbita_maxima
n04543772 wagon_wheel
n04314914 step
n04314914 stair
n07881625 refried_beans
n02112137 chow
n02112137 chow_chow
n01632777 axolotl
n01601694 dipper
n03873699 paddle
n12943443 sanicle
n12943443 snakeroot
n02866578 bomb
n03202354 dinner_table
n04495555 tudor_arch
n12498055 palo_verde
n03487886 hand_pump
n12515925 chickpea
n12515925 garbanzo
n04122578 sabot
n04122578 wooden_shoe
n12128071 paspalum
n04359589 support
n03903868 pedestal
n03903868 plinth
n01845132 waterfowl
n01845132 water_bird
n01845132 waterbird
n01611969 kestrel
n04492157 trunk_line
n02538562 arctic_char
n02538562 salvelinus_alpinus
n03145522 cue
n02097047 miniature_schnauzer
n04971313 rose
n02976350 casement
n10001217 deliveryman
n10001217 delivery_boy
n10001217 deliverer
n07643306 jelly
n02098413 lhasa
n02098413 lhasa_apso
n12158443 pumpkin
n12158443 cucurbita_pepo
n12712626 burning_bush
n12712626 gas_plant
n01815601 sandgrouse
n05467054 neuroglia
n05467054 glia
n03548930 veil
n03772674 minuteman
n03724623 seven_iron
n04489695 trousseau
n03382413 foredeck
n04309049 steam_engine
n04475411 trapeze
n03487444 hand_lotion
n02901259 brig
n03102654 cooler
n03102654 ice_chest
n02566489 white_perch
n02566489 silver_perch
n02068541 bottlenose_whale
n02068541 bottlenose
n03149686 curbstone
n03108759 corer
n03948950 piston
n03948950 plunger
n02689144 airframe
n04168084 segmental_arch
n07899533 chenin_blanc
n03849679 openwork
n02710600 aneroid_barometer
n02710600 aneroid
n02933112 cabinet
n07721018 green_pepper
n07748157 clementine
n04981658 ring
n07895962 sauvignon_blanc
n03855756 orlon
